KRCH,IRCH,JRCH,ISEG,IREACH,RCHLEN,STRTOP,SLOPE,STRTHICK,STRHC1,THTS,THTI,EPS,UHC
1,61,35,43,2,65,,0.03063893,1,3,0.35,0.3,3.5,0.3
1,57,35,29,3,75,,0.0921879,1,3,0.35,0.3,3.5,0.3
1,50,36,5,10,295,,0.057435713,1,3,0.35,0.3,3.5,0.3
1,50,35,5,11,259,,0.030879124,1,3,0.35,0.3,3.5,0.3
1,35,36,27,31,7,,0.0001,1,3,0.35,0.3,3.5,0.3
1,31,36,27,23,4,,0.0001,1,3,0.35,0.3,3.5,0.3
1,31,35,27,24,163,,0.0001,1,3,0.35,0.3,3.5,0.3
1,31,36,27,25,76,,0.0001,1,3,0.35,0.3,3.5,0.3
1,31,35,27,26,38,,0.0001,1,3,0.35,0.3,3.5,0.3
1,27,35,27,18,266,,0.02997969,1,3,0.35,0.3,3.5,0.3
1,27,36,27,19,40,,0.0001,1,3,0.35,0.3,3.5,0.3
1,24,36,27,14,193,,0.005177989,1,3,0.35,0.3,3.5,0.3
1,57,37,29,1,96,,0.072863576,1,3,0.35,0.3,3.5,0.3
1,57,36,29,2,270,,0.122101421,1,3,0.35,0.3,3.5,0.3
1,50,37,5,9,235,,0.072216544,1,3,0.35,0.3,3.5,0.3
1,36,36,8,2,254,,0.051098585,1,3,0.35,0.3,3.5,0.3
1,36,37,8,3,230,,0.021672543,1,3,0.35,0.3,3.5,0.3
1,34,37,14,28,4,,0.0001,1,3,0.35,0.3,3.5,0.3
1,34,36,14,29,418,,0.083651583,1,3,0.35,0.3,3.5,0.3
1,22,36,27,12,81,,0.061056877,1,3,0.35,0.3,3.5,0.3
1,62,38,20,2,96,,0.082752028,1,3,0.35,0.3,3.5,0.3
1,62,37,20,3,317,,0.081942936,1,3,0.35,0.3,3.5,0.3
1,57,38,1,5,51,,0.253311236,1,3,0.35,0.3,3.5,0.3
1,57,37,1,6,184,,0.14065259,1,3,0.35,0.3,3.5,0.3
1,49,38,5,7,310,,0.067707279,1,3,0.35,0.3,3.5,0.3
1,49,37,5,8,58,,0.137039266,1,3,0.35,0.3,3.5,0.3
1,37,37,8,4,75,,0.0263394,1,3,0.35,0.3,3.5,0.3
1,37,38,8,5,262,,0.060996379,1,3,0.35,0.3,3.5,0.3
1,33,37,14,27,289,,0.02764643,1,3,0.35,0.3,3.5,0.3
1,22,38,27,10,90,,0.0001,1,3,0.35,0.3,3.5,0.3
1,22,37,27,11,319,,0.03442917,1,3,0.35,0.3,3.5,0.3
1,63,39,42,17,167,,0.05359792,1,3,0.35,0.3,3.5,0.3
1,62,39,22,19,68,,0.087265289,1,3,0.35,0.3,3.5,0.3
1,58,38,1,4,253,,0.110621336,1,3,0.35,0.3,3.5,0.3
1,56,38,36,31,230,,0.138537932,1,3,0.35,0.3,3.5,0.3
1,48,38,5,6,101,,0.0001,1,3,0.35,0.3,3.5,0.3
1,38,38,8,6,138,,0.043252106,1,3,0.35,0.3,3.5,0.3
1,38,39,8,7,254,,0.062829636,1,3,0.35,0.3,3.5,0.3
1,33,38,14,26,257,,0.007769732,1,3,0.35,0.3,3.5,0.3
1,21,39,27,8,226,,0.0001,1,3,0.35,0.3,3.5,0.3
1,21,38,27,9,228,,0.0001,1,3,0.35,0.3,3.5,0.3
1,64,40,42,15,9,,0.0001,1,3,0.35,0.3,3.5,0.3
1,64,39,42,16,285,,0.108712224,1,3,0.35,0.3,3.5,0.3
1,63,40,22,17,114,,0.130453419,1,3,0.35,0.3,3.5,0.3
1,63,39,22,18,235,,0.093346858,1,3,0.35,0.3,3.5,0.3
1,58,40,1,2,101,,0.187650653,1,3,0.35,0.3,3.5,0.3
1,58,39,1,3,319,,0.115807209,1,3,0.35,0.3,3.5,0.3
