 "GAGE No.    5:  K,I,J Coord. =     1,   48,   39;  STREAM SEGMENT =     5;  REACH =     5 "
     "DATA: Time           Stage            Flow"
     1.9300000E+02   4.0871206E+03   6.7686891E+04
     1.9400000E+02   4.0871201E+03   6.7218703E+04
     1.9500000E+02   4.0871189E+03   6.6089367E+04
     1.9600000E+02   4.0871187E+03   6.6062586E+04
     1.9700000E+02   4.0871182E+03   6.5403766E+04
     1.9800000E+02   4.0871182E+03   6.5437203E+04
     1.9900000E+02   4.0871211E+03   6.8228703E+04
     2.0000000E+02   4.0871208E+03   6.7979336E+04
     2.0100000E+02   4.0871270E+03   7.3729273E+04
     2.0200000E+02   4.0871230E+03   7.0003906E+04
     2.0300000E+02   4.0871226E+03   6.9662234E+04
     2.0400000E+02   4.0871218E+03   6.8918945E+04
     2.0500000E+02   4.0871182E+03   6.5439875E+04
     2.0600000E+02   4.0871272E+03   7.3908016E+04
     2.0700000E+02   4.0871265E+03   7.3228492E+04
     2.0800000E+02   4.0871230E+03   7.0022438E+04
     2.0900000E+02   4.0871177E+03   6.4955336E+04
     2.1000000E+02   4.0871228E+03   6.9859930E+04
     2.1100000E+02   4.0871191E+03   6.6394586E+04
     2.1200000E+02   4.0871299E+03   7.6727375E+04
     2.1300000E+02   4.0871230E+03   6.9997031E+04
     2.1400000E+02   4.0871228E+03   6.9767719E+04
     2.1500000E+02   4.0871221E+03   6.9240984E+04
     2.1600000E+02   4.0871208E+03   6.7989688E+04
     2.1700000E+02   4.0871191E+03   6.6357062E+04
     2.1800000E+02   4.0871194E+03   6.6521391E+04
     2.1900000E+02   4.0871196E+03   6.6948070E+04
     2.2000000E+02   4.0871155E+03   6.3157438E+04
     2.2100000E+02   4.0871150E+03   6.2685086E+04
     2.2200000E+02   4.0871157E+03   6.3181512E+04
     2.2300000E+02   4.0871147E+03   6.2446766E+04
     2.2400000E+02   4.0871160E+03   6.3386797E+04
     2.2500000E+02   4.0871157E+03   6.3286984E+04
     2.2600000E+02   4.0871172E+03   6.4488785E+04
     2.2700000E+02   4.0871167E+03   6.4179676E+04
     2.2800000E+02   4.0871138E+03   6.1574664E+04
     2.2900000E+02   4.0871138E+03   6.1582105E+04
     2.3000000E+02   4.0871143E+03   6.1951887E+04
     2.3100000E+02   4.0871162E+03   6.3676336E+04
     2.3200000E+02   4.0871118E+03   5.9838770E+04
     2.3300000E+02   4.0871099E+03   5.8098039E+04
     2.3400000E+02   4.0871069E+03   5.5496113E+04
     2.3500000E+02   4.0871079E+03   5.6357195E+04
     2.3600000E+02   4.0871108E+03   5.8851504E+04
     2.3700000E+02   4.0871121E+03   6.0025645E+04
     2.3800000E+02   4.0871133E+03   6.1053180E+04
     2.3900000E+02   4.0871162E+03   6.3583641E+04
     2.4000000E+02   4.0871169E+03   6.4431953E+04
     2.4100000E+02   4.0871177E+03   6.5113512E+04
     2.4200000E+02   4.0871184E+03   6.5789023E+04
     2.4300000E+02   4.0871189E+03   6.6082086E+04
     2.4400000E+02   4.0871206E+03   6.7700344E+04
     2.4500000E+02   4.0871255E+03   7.2285336E+04
     2.4600000E+02   4.0871218E+03   6.8904328E+04
     2.4700000E+02   4.0871228E+03   6.9769133E+04
     2.4800000E+02   4.0871169E+03   6.4287293E+04
     2.4900000E+02   4.0871138E+03   6.1586418E+04
     2.5000000E+02   4.0871140E+03   6.1746332E+04
     2.5100000E+02   4.0871165E+03   6.3992734E+04
     2.5200000E+02   4.0871216E+03   6.8774125E+04
     2.5300000E+02   4.0871230E+03   6.9997938E+04
     2.5400000E+02   4.0871174E+03   6.4924500E+04
     2.5500000E+02   4.0871177E+03   6.4954598E+04
     2.5600000E+02   4.0871201E+03   6.7348781E+04
     2.5700000E+02   4.0871487E+03   9.5878656E+04
     2.5800000E+02   4.0871316E+03   7.8278461E+04
     2.5900000E+02   4.0871326E+03   7.9172922E+04
     2.6000000E+02   4.0871423E+03   8.9198055E+04
     2.6100000E+02   4.0871318E+03   7.8629352E+04
     2.6200000E+02   4.0871294E+03   7.6056898E+04
     2.6300000E+02   4.0871282E+03   7.4981336E+04
     2.6400000E+02   4.0871284E+03   7.5283719E+04
     2.6500000E+02   4.0871357E+03   8.2535617E+04
     2.6600000E+02   4.0871289E+03   7.5762156E+04
     2.6700000E+02   4.0871279E+03   7.4632414E+04
     2.6800000E+02   4.0871248E+03   7.1736961E+04
     2.6900000E+02   4.0871257E+03   7.2632234E+04
     2.7000000E+02   4.0871255E+03   7.2401891E+04
     2.7100000E+02   4.0871267E+03   7.3575492E+04
     2.7200000E+02   4.0871218E+03   6.8905836E+04
     2.7300000E+02   4.0871191E+03   6.6458219E+04
     2.7400000E+02   4.0871206E+03   6.7720227E+04
     2.7500000E+02   4.0871584E+03   1.0653829E+05
     2.7600000E+02   4.0871580E+03   1.0601874E+05
     2.7700000E+02   4.0871460E+03   9.3050688E+04
     2.7800000E+02   4.0872617E+03   2.4573880E+05
     2.7900000E+02   4.0871689E+03   1.1860134E+05
     2.8000000E+02   4.0871570E+03   1.0494769E+05
     2.8100000E+02   4.0871565E+03   1.0441636E+05
     2.8200000E+02   4.0871484E+03   9.5743445E+04
     2.8300000E+02   4.0871453E+03   9.2288102E+04
     2.8400000E+02   4.0871409E+03   8.7820766E+04
     2.8500000E+02   4.0871365E+03   8.3237195E+04
     2.8600000E+02   4.0871355E+03   8.2299586E+04
     2.8700000E+02   4.0871328E+03   7.9514562E+04
     2.8800000E+02   4.0871350E+03   8.1835438E+04
     2.8900000E+02   4.0871340E+03   8.0840844E+04
     2.9000000E+02   4.0871357E+03   8.2560516E+04
     2.9100000E+02   4.0871357E+03   8.2362758E+04
     2.9200000E+02   4.0871370E+03   8.3769734E+04
     2.9300000E+02   4.0871553E+03   1.0320988E+05
     2.9400000E+02   4.0871462E+03   9.3268156E+04
     2.9500000E+02   4.0871499E+03   9.7226297E+04
     2.9600000E+02   4.0871912E+03   1.4562920E+05
     2.9700000E+02   4.0871624E+03   1.1119041E+05
     2.9800000E+02   4.0871497E+03   9.7022391E+04
     2.9900000E+02   4.0871450E+03   9.2180625E+04
     3.0000000E+02   4.0871516E+03   9.9188344E+04
     3.0100000E+02   4.0871521E+03   9.9632203E+04
     3.0200000E+02   4.0872253E+03   1.9168653E+05
     3.0300000E+02   4.0871738E+03   1.2439521E+05
     3.0400000E+02   4.0871609E+03   1.0945222E+05
     3.0500000E+02   4.0871665E+03   1.1584216E+05
     3.0600000E+02   4.0871497E+03   9.6970094E+04
     3.0700000E+02   4.0871445E+03   9.1698039E+04
     3.0800000E+02   4.0871428E+03   8.9703992E+04
     3.0900000E+02   4.0871396E+03   8.6417945E+04
     3.1000000E+02   4.0871384E+03   8.5168164E+04
     3.1100000E+02   4.0871577E+03   1.0594677E+05
     3.1200000E+02   4.0871509E+03   9.8453828E+04
     3.1300000E+02   4.0871465E+03   9.3584805E+04
     3.1400000E+02   4.0871455E+03   9.2607281E+04
     3.1500000E+02   4.0871506E+03   9.8190609E+04
     3.1600000E+02   4.0872312E+03   2.0001889E+05
     3.1700000E+02   4.0871826E+03   1.3495883E+05
     3.1800000E+02   4.0871682E+03   1.1780982E+05
     3.1900000E+02   4.0872217E+03   1.8638694E+05
     3.2000000E+02   4.0871995E+03   1.5657952E+05
     3.2100000E+02   4.0871775E+03   1.2877927E+05
     3.2200000E+02   4.0871685E+03   1.1817970E+05
     3.2300000E+02   4.0871626E+03   1.1132364E+05
     3.2400000E+02   4.0871553E+03   1.0306502E+05
     3.2500000E+02   4.0871682E+03   1.1780066E+05
     3.2600000E+02   4.0871550E+03   1.0286569E+05
     3.2700000E+02   4.0871511E+03   9.8606203E+04
     3.2800000E+02   4.0871553E+03   1.0310234E+05
     3.2900000E+02   4.0871460E+03   9.3141328E+04
     3.3000000E+02   4.0871763E+03   1.2722671E+05
     3.3100000E+02   4.0871543E+03   1.0214617E+05
     3.3200000E+02   4.0871467E+03   9.3790148E+04
     3.3300000E+02   4.0871460E+03   9.3113141E+04
     3.3400000E+02   4.0871785E+03   1.2988673E+05
     3.3500000E+02   4.0872129E+03   1.7442984E+05
     3.3600000E+02   4.0871753E+03   1.2606052E+05
     3.3700000E+02   4.0871660E+03   1.1515380E+05
     3.3800000E+02   4.0871594E+03   1.0775205E+05
     3.3900000E+02   4.0871936E+03   1.4875208E+05
     3.4000000E+02   4.0871675E+03   1.1694522E+05
     3.4100000E+02   4.0871619E+03   1.1064677E+05
     3.4200000E+02   4.0871870E+03   1.4046606E+05
     3.4300000E+02   4.0871934E+03   1.4842494E+05
     3.4400000E+02   4.0872490E+03   2.2625309E+05
     3.4500000E+02   4.0872036E+03   1.6186117E+05
     3.4600000E+02   4.0871877E+03   1.4136145E+05
     3.4700000E+02   4.0871824E+03   1.3477677E+05
     3.4800000E+02   4.0871699E+03   1.1977249E+05
     3.4900000E+02   4.0871816E+03   1.3381500E+05
     3.5000000E+02   4.0871741E+03   1.2467261E+05
     3.5100000E+02   4.0871633E+03   1.1227559E+05
     3.5200000E+02   4.0871819E+03   1.3408291E+05
     3.5300000E+02   4.0871660E+03   1.1542805E+05
     3.5400000E+02   4.0871660E+03   1.1531217E+05
     3.5500000E+02   4.0871733E+03   1.2385384E+05
     3.5600000E+02   4.0871636E+03   1.1255702E+05
     3.5700000E+02   4.0871597E+03   1.0797122E+05
     3.5800000E+02   4.0871597E+03   1.0812553E+05
     3.5900000E+02   4.0872588E+03   2.4136495E+05
     3.6000000E+02   4.0872185E+03   1.8222428E+05
     3.6100000E+02   4.0872891E+03   2.9033628E+05
     3.6200000E+02   4.0872239E+03   1.8955477E+05
     3.6300000E+02   4.0872100E+03   1.7055920E+05
     3.6400000E+02   4.0872100E+03   1.7047805E+05
     3.6500000E+02   4.0871904E+03   1.4486533E+05
     3.6600000E+02   4.0871809E+03   1.3297428E+05
     3.6700000E+02   4.0871726E+03   1.2311934E+05
     3.6800000E+02   4.0871599E+03   1.0842096E+05
     3.6900000E+02   4.0871516E+03   9.9275867E+04
     3.7000000E+02   4.0871475E+03   9.4762312E+04
     3.7100000E+02   4.0871709E+03   1.2103004E+05
     3.7200000E+02   4.0871533E+03   1.0110244E+05
     3.7300000E+02   4.0871760E+03   1.2696488E+05
     3.7400000E+02   4.0872803E+03   2.7573169E+05
     3.7500000E+02   4.0872556E+03   2.3653941E+05
     3.7600000E+02   4.0872078E+03   1.6738080E+05
     3.7700000E+02   4.0871885E+03   1.4232838E+05
     3.7800000E+02   4.0871711E+03   1.2130771E+05
     3.7900000E+02   4.0871667E+03   1.1609986E+05
     3.8000000E+02   4.0874812E+03   6.7895994E+05
     3.8100000E+02   4.0873008E+03   3.1026269E+05
     3.8200000E+02   4.0873135E+03   3.3257675E+05
     3.8300000E+02   4.0876223E+03   1.0422519E+06
     3.8400000E+02   4.0876580E+03   1.1440276E+06
     3.8500000E+02   4.0874666E+03   6.4546688E+05
     3.8600000E+02   4.0873843E+03   4.6731966E+05
     3.8700000E+02   4.0873689E+03   4.3638269E+05
     3.8800000E+02   4.0877151E+03   1.3150399E+06
     3.8900000E+02   4.0875032E+03   7.3211388E+05
     3.9000000E+02   4.0873667E+03   4.3205097E+05
     3.9100000E+02   4.0873689E+03   4.3665841E+05
     3.9200000E+02   4.0873003E+03   3.0995288E+05
     3.9300000E+02   4.0872712E+03   2.6140714E+05
     3.9400000E+02   4.0873608E+03   4.2087494E+05
     3.9500000E+02   4.0873005E+03   3.1041188E+05
     3.9600000E+02   4.0872781E+03   2.7244075E+05
     3.9700000E+02   4.0872405E+03   2.1399392E+05
     3.9800000E+02   4.0872209E+03   1.8579797E+05
     3.9900000E+02   4.0873259E+03   3.5507356E+05
     4.0000000E+02   4.0872507E+03   2.2955280E+05
     4.0100000E+02   4.0874402E+03   5.8555869E+05
     4.0200000E+02   4.0873835E+03   4.6581269E+05
     4.0300000E+02   4.0872954E+03   3.0147644E+05
     4.0400000E+02   4.0872576E+03   2.3986186E+05
     4.0500000E+02   4.0872312E+03   2.0031202E+05
     4.0600000E+02   4.0872114E+03   1.7282223E+05
     4.0700000E+02   4.0871982E+03   1.5504803E+05
     4.0800000E+02   4.0871875E+03   1.4153173E+05
     4.0900000E+02   4.0871775E+03   1.2912838E+05
     4.1000000E+02   4.0871702E+03   1.2043373E+05
     4.1100000E+02   4.0871653E+03   1.1465296E+05
     4.1200000E+02   4.0871853E+03   1.3858528E+05
     4.1300000E+02   4.0872578E+03   2.4013539E+05
     4.1400000E+02   4.0872285E+03   1.9623419E+05
     4.1500000E+02   4.0872361E+03   2.0733141E+05
     4.1600000E+02   4.0872297E+03   1.9833761E+05
     4.1700000E+02   4.0872019E+03   1.5994325E+05
     4.1800000E+02   4.0871899E+03   1.4447088E+05
     4.1900000E+02   4.0872234E+03   1.8896750E+05
     4.2000000E+02   4.0872026E+03   1.6073416E+05
     4.2100000E+02   4.0872786E+03   2.7320744E+05
     4.2200000E+02   4.0872195E+03   1.8348070E+05
     4.2300000E+02   4.0871956E+03   1.5152358E+05
     4.2400000E+02   4.0871848E+03   1.3808347E+05
     4.2500000E+02   4.0872107E+03   1.7146348E+05
     4.2600000E+02   4.0872197E+03   1.8407366E+05
     4.2700000E+02   4.0871865E+03   1.4020931E+05
     4.2800000E+02   4.0871814E+03   1.3362800E+05
     4.2900000E+02   4.0871665E+03   1.1585998E+05
     4.3000000E+02   4.0871877E+03   1.4156136E+05
     4.3100000E+02   4.0872852E+03   2.8394897E+05
     4.3200000E+02   4.0872781E+03   2.7212644E+05
     4.3300000E+02   4.0872246E+03   1.9075148E+05
     4.3400000E+02   4.0872041E+03   1.6269794E+05
     4.3500000E+02   4.0871924E+03   1.4764241E+05
     4.3600000E+02   4.0872410E+03   2.1464491E+05
     4.3700000E+02   4.0876206E+03   1.0377866E+06
     4.3800000E+02   4.0873154E+03   3.3607131E+05
     4.3900000E+02   4.0872747E+03   2.6692178E+05
     4.4000000E+02   4.0873005E+03   3.1009562E+05
     4.4100000E+02   4.0872471E+03   2.2378441E+05
     4.4200000E+02   4.0875017E+03   7.2856981E+05
     4.4300000E+02   4.0873081E+03   3.2341438E+05
     4.4400000E+02   4.0872986E+03   3.0702922E+05
     4.4500000E+02   4.0873784E+03   4.5509341E+05
     4.4600000E+02   4.0873049E+03   3.1771069E+05
     4.4700000E+02   4.0872549E+03   2.3569584E+05
     4.4800000E+02   4.0872883E+03   2.8933372E+05
     4.4900000E+02   4.0873872E+03   4.7280541E+05
     4.5000000E+02   4.0872769E+03   2.7039941E+05
     4.5100000E+02   4.0872637E+03   2.4949248E+05
     4.5200000E+02   4.0873062E+03   3.1999409E+05
     4.5300000E+02   4.0872507E+03   2.2934642E+05
     4.5400000E+02   4.0872788E+03   2.7358525E+05
     4.5500000E+02   4.0872837E+03   2.8176512E+05
     4.5600000E+02   4.0872361E+03   2.0765481E+05
     4.5700000E+02   4.0872175E+03   1.8114050E+05
     4.5800000E+02   4.0872009E+03   1.5856717E+05
     4.5900000E+02   4.0871882E+03   1.4219844E+05
     4.6000000E+02   4.0871785E+03   1.3014673E+05
     4.6100000E+02   4.0871702E+03   1.2042684E+05
     4.6200000E+02   4.0871653E+03   1.1463844E+05
     4.6300000E+02   4.0871580E+03   1.0636670E+05
     4.6400000E+02   4.0871704E+03   1.2068004E+05
     4.6500000E+02   4.0872283E+03   1.9624631E+05
     4.6600000E+02   4.0871816E+03   1.3397006E+05
     4.6700000E+02   4.0871694E+03   1.1951366E+05
     4.6800000E+02   4.0871582E+03   1.0668995E+05
     4.6900000E+02   4.0871509E+03   9.8468750E+04
     4.7000000E+02   4.0871470E+03   9.4226984E+04
     4.7100000E+02   4.0871414E+03   8.8420852E+04
     4.7200000E+02   4.0871379E+03   8.4803812E+04
     4.7300000E+02   4.0871326E+03   7.9370938E+04
     4.7400000E+02   4.0871304E+03   7.7130477E+04
     4.7500000E+02   4.0871343E+03   8.1180641E+04
     4.7600000E+02   4.0871348E+03   8.1558352E+04
     4.7700000E+02   4.0871863E+03   1.3985298E+05
     4.7800000E+02   4.0872200E+03   1.8412011E+05
     4.7900000E+02   4.0871794E+03   1.3130828E+05
     4.8000000E+02   4.0871665E+03   1.1581655E+05
     4.8100000E+02   4.0871582E+03   1.0645551E+05
     4.8200000E+02   4.0871523E+03   9.9939852E+04
     4.8300000E+02   4.0871575E+03   1.0570316E+05
     4.8400000E+02   4.0871604E+03   1.0880926E+05
     4.8500000E+02   4.0871509E+03   9.8372852E+04
     4.8600000E+02   4.0871487E+03   9.6263930E+04
     4.8700000E+02   4.0871450E+03   9.2062305E+04
     4.8800000E+02   4.0871431E+03   9.0011273E+04
     4.8900000E+02   4.0871411E+03   8.7985664E+04
